home_team,away_team,home_goals,away_goals,result,season,total_goals
Tottenham Hotspur,Reading,1.0,0.0,H,2006-2007,1.0
Aston Villa,Everton,1.0,1.0,D,2006-2007,2.0
Manchester City,Charlton Athletic,0.0,0.0,D,2006-2007,0.0
Everton,Fulham,4.0,1.0,H,2006-2007,5.0
Chelsea,Tottenham Hotspur,1.0,0.0,H,2006-2007,1.0
Arsenal,West Ham United,0.0,1.0,A,2006-2007,1.0
Blackburn Rovers,Aston Villa,1.0,2.0,A,2006-2007,3.0
Middlesbrough,Watford,4.0,1.0,H,2006-2007,5.0
Reading,Liverpool,1.0,2.0,A,2006-2007,3.0
Sheffield United,Newcastle United,1.0,2.0,A,2006-2007,3.0
Wigan Athletic,Bolton Wanderers,1.0,3.0,A,2006-2007,4.0
Portsmouth,Manchester United,2.0,1.0,H,2006-2007,3.0
Watford,Portsmouth,4.0,2.0,H,2006-2007,6.0
Aston Villa,Wigan Athletic,1.0,1.0,D,2006-2007,2.0
Bolton Wanderers,Everton,1.0,1.0,D,2006-2007,2.0
Fulham,Manchester City,1.0,3.0,A,2006-2007,4.0
Newcastle United,Arsenal,0.0,0.0,D,2006-2007,0.0
Charlton Athletic,Reading,0.0,0.0,D,2006-2007,0.0
Arsenal,Bolton Wanderers,2.0,1.0,H,2006-2007,3.0
Manchester City,Liverpool,0.0,0.0,D,2006-2007,0.0
Middlesbrough,Aston Villa,1.0,3.0,A,2006-2007,4.0
Portsmouth,Newcastle United,2.0,1.0,H,2006-2007,3.0
Reading,Fulham,1.0,0.0,H,2006-2007,1.0
Sheffield United,West Ham United,3.0,0.0,H,2006-2007,3.0
Wigan Athletic,Tottenham Hotspur,3.0,3.0,D,2006-2007,6.0
Everton,Charlton Athletic,2.0,1.0,H,2006-2007,3.0
Arsenal,Manchester City,3.0,1.0,H,2006-2007,4.0
Manchester United,Sheffield United,2.0,0.0,H,2006-2007,2.0
Blackburn Rovers,Watford,3.0,1.0,H,2006-2007,4.0
Liverpool,Middlesbrough,2.0,0.0,H,2006-2007,2.0
West Ham United,Chelsea,1.0,4.0,A,2006-2007,5.0
Tottenham Hotspur,Arsenal,2.0,2.0,D,2006-2007,4.0
Bolton Wanderers,Reading,1.0,3.0,A,2006-2007,4.0
Charlton Athletic,Sheffield United,1.0,1.0,D,2006-2007,2.0
Fulham,Blackburn Rovers,1.0,1.0,D,2006-2007,2.0
